bhsa_lex;verb_occurrences
BW>[;1177
HLK[;290
CWB[;248
<LH[;242
CLX[;193
JY>[;156
JRD[;120
<BR[;62
NGC[;57
QRB[;56
NWS[;49
CLK[;45
>SP[;38
NPL[;37
QBY[;28
LQX[;25
SWR[;22
GLH[ ;20
QHL[;19
RWY[;18
BRX[;16
RDP[;14
NVH[;13
NF>[;13
NDX[;13
SBB[;13
NS<[;12
MLV[;10
CPK[;10
PWY[;6
ZRQ[;6
VWL[;6
NKH[;5
ZRH[;5
JYQ[;5
PRY[;4
QWH=[;4
TQ<[;4
MCK[;3
NGX[;3
J<D[;3
BDL[;3
HPK[;3
PNH[;3
JRH=[;2
 NTQ[;2
MHR[;2
CBH[;2
MWC[;2
NHG[;2
DBQ[;2
GLL[;2
NZH[;2
NXH[;2
LQV[ ;1
MYH[;1
PRF[;1
LXY[;1
 GHR[;1
RWM[;1
QL<[;1
KNS[;1
QJ>[;1
RKB[;1
MXH[;1
NFG[;1
FXV[;1
NG<[;1
NGR[;1
PCV[;1
DXP[;1
RDH=[;1
DRK[;1
SXB[;1
<RH[;1
YNX[;1
BQ<[;1
<WP[;1
<TQ[;1
NTK[;1
